Run,Generation,File,Seed,Key Length,Pop. Size,Crossover Rate,Mutation Rate,Crossover,Mutation,Selection,Best Solution,Best Fitness,Average Fitness
1,1,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,kwwbkkeghsjdflpgsfsqeukoqq,0.6512382838283828,0.7125047128712868
1,2,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,h-tltewsiedgazakvhcxqfsghi,0.657550495049505,0.7071712673267327
1,3,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,hxtltewsiedganamchbxqfsjfi,0.6507775577557755,0.7016110165016505
1,4,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,c-tntrgbehianuaecuqgifydlf,0.6529300330033003,0.6936512871287127
1,5,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,h-sxtrkbiemnaezechbsstfifs,0.6138138613861387,0.6858809174917492
1,6,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,h-sttrkbiemnaezechbsstsiff,0.6085333333333334,0.6802572805280527
1,7,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,c-teurkbeemnrezecybsstsdlf,0.5986323432343233,0.6698007458745872
1,8,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,c-seurebeemkrezelyeestsnls,0.6027650165016502,0.6619576357635766
1,9,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,c-seteediemnreaexybessfdqs,0.59533201320132,0.6543653267326732
1,10,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,d-seszeisemraeaecynssdenfs,0.5981445544554456,0.6471067128712872
1,11,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,z-seooeeiemmnteecenxsrfdes,0.5849432343234323,0.6388375313531351
1,12,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,z-sxoeeeeemmnteecenxshedls,0.5794904290429044,0.6287667033370002
1,13,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,k-seoeeeeemdrtelcenxshells,0.5810990099009901,0.6193284422442243
1,14,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,d-slsreesemmreveevnxsselas,0.5750422442244223,0.6105490015668235
1,15,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,e-seertdiemmreaelvnnsteuas,0.5697617161716171,0.6021361650165016
1,16,attachments/Data1.txt,3,26,100,1.0,0.0,ux,rx,tour2,d-setoeesemmrevecynxsselas,0.5664613861386137,0.5952192285895257
